x, y, v_x, v_y
1864.52, 1790.47, 446.283, 409.35
1868.98, 1794.57, 446.175, 409.153
1873.44, 1798.66, 446.067, 408.956
1877.9, 1802.75, 445.959, 408.759
1882.36, 1806.84, 445.851, 408.562
1886.82, 1810.92, 445.743, 408.365
1891.28, 1815.01, 445.635, 408.168
1895.73, 1819.09, 445.528, 407.971
1900.19, 1823.17, 445.42, 407.774
1904.64, 1827.24, 445.312, 407.578
1909.1, 1831.32, 445.205, 407.381
1913.55, 1835.39, 445.097, 407.185
1918, 1839.47, 444.99, 406.989
1922.45, 1843.54, 444.883, 406.792
1926.9, 1847.6, 444.775, 406.596
1931.35, 1851.67, 444.668, 406.4
1935.79, 1855.73, 444.561, 406.204
1940.24, 1859.8, 444.454, 406.008
1944.68, 1863.86, 444.347, 405.812
1949.13, 1867.91, 444.24, 405.616
1953.57, 1871.97, 444.133, 405.421
1958.01, 1876.02, 444.026, 405.225
1962.45, 1880.08, 443.919, 405.03
1966.89, 1884.13, 443.813, 404.834
1971.33, 1888.17, 443.706, 404.639
1975.77, 1892.22, 443.6, 404.443
1980.2, 1896.27, 443.493, 404.248
1984.64, 1900.31, 443.387, 404.053
1989.07, 1904.35, 443.28, 403.858
1993.5, 1908.39, 443.174, 403.663
1997.93, 1912.42, 443.068, 403.468
2002.37, 1916.46, 442.961, 403.273
2006.8, 1920.49, 442.855, 403.079
2011.22, 1924.52, 442.749, 402.884
2015.65, 1928.55, 442.643, 402.689
2020.08, 1932.58, 442.537, 402.495
2024.5, 1936.6, 442.431, 402.3
2028.93, 1940.63, 442.325, 402.106
2033.35, 1944.65, 442.22, 401.912
2037.77, 1948.67, 442.114, 401.718
2042.19, 1952.68, 442.008, 401.524
2046.61, 1956.7, 441.903, 401.33
2051.03, 1960.71, 441.797, 401.136
2055.45, 1964.72, 441.692, 400.942
2059.87, 1968.73, 441.586, 400.748
2064.28, 1972.74, 441.481, 400.554
2068.7, 1976.75, 441.376, 400.361
2073.11, 1980.75, 441.271, 400.167
2077.53, 1984.75, 441.165, 399.974
2081.94, 1988.75, 441.06, 399.78
2086.35, 1992.75, 440.955, 399.587
2090.76, 1996.74, 440.85, 399.394
2095.17, 2000.74, 440.746, 399.201
2099.57, 2004.73, 440.641, 399.008
2103.98, 2008.72, 440.536, 398.815
2108.38, 2012.71, 440.431, 398.622
2112.79, 2016.69, 440.327, 398.429
2117.19, 2020.68, 440.222, 398.236
2121.59, 2024.66, 440.117, 398.044
2126, 2028.64, 440.013, 397.851
2130.4, 2032.62, 439.909, 397.659
2134.79, 2036.6, 439.804, 397.466
2139.19, 2040.57, 439.7, 397.274
2143.59, 2044.54, 439.596, 397.082
2147.99, 2048.51, 439.492, 396.889
2152.38, 2052.48, 439.387, 396.697
2156.77, 2056.45, 439.283, 396.505
2161.17, 2060.42, 439.179, 396.313
2165.56, 2064.38, 439.075, 396.121
2169.95, 2068.34, 438.972, 395.93
2174.34, 2072.3, 438.868, 395.738
2178.73, 2076.26, 438.764, 395.546
2183.12, 2080.21, 438.66, 395.355
2187.5, 2084.17, 438.557, 395.163
2191.89, 2088.12, 438.453, 394.972
2196.27, 2092.07, 438.35, 394.78
2200.66, 2096.02, 438.246, 394.589
2205.04, 2099.96, 438.143, 394.398
2209.42, 2103.9, 438.04, 394.207
2213.8, 2107.85, 437.936, 394.016
2218.18, 2111.79, 437.833, 393.825
2222.56, 2115.73, 437.73, 393.634
2226.94, 2119.66, 437.627, 393.443
2231.31, 2123.6, 437.524, 393.253
2235.69, 2127.53, 437.421, 393.062
2240.06, 2131.46, 437.318, 392.871
2244.43, 2135.39, 437.215, 392.681
2248.81, 2139.31, 437.112, 392.49
2253.18, 2143.24, 437.01, 392.3
2257.55, 2147.16, 436.907, 392.11
2261.92, 2151.08, 436.805, 391.92
2266.28, 2155, 436.702, 391.73
2270.65, 2158.92, 436.599, 391.54
2275.02, 2162.84, 436.497, 391.35
2279.38, 2166.75, 436.395, 391.16
2283.75, 2170.66, 436.292, 390.97
2288.11, 2174.57, 436.19, 390.78
2292.47, 2178.48, 436.088, 390.591
2296.83, 2182.38, 435.986, 390.401
2301.19, 2186.29, 435.884, 390.212
2305.55, 2190.19, 435.782, 390.022
2309.91, 2194.09, 435.68, 389.833
2314.27, 2197.99, 435.578, 389.644
2318.62, 2201.89, 435.476, 389.454
2322.98, 2205.78, 435.374, 389.265
2327.33, 2209.67, 435.273, 389.076
2331.68, 2213.56, 435.171, 388.887
2336.03, 2217.45, 435.069, 388.698
2340.39, 2221.34, 434.968, 388.51
2344.73, 2225.22, 434.866, 388.321
2349.08, 2229.11, 434.765, 388.132
2353.43, 2232.99, 434.664, 387.944
2357.78, 2236.87, 434.562, 387.755
2362.12, 2240.75, 434.461, 387.567
2366.47, 2244.62, 434.36, 387.378
2370.81, 2248.5, 434.259, 387.19
